seq1,seq2,similarity
28,48,0.42549676
49,114,0.33071336
49,78,0.5559022
28,67,0.56516564
60,94,0.53163123
60,117,0.44701207
60,182,0.48404723
77,167,0.49882764
2,69,0.5797829
77,107,0.37795693
2,186,0.4682474
88,151,0.46790433
88,176,0.4030934
88,164,0.31373328
93,164,0.38900197
93,137,0.71988165
93,101,0.44971147
45,107,0.46865353
36,176,0.49318567
45,126,0.6112791
36,113,0.5287976
67,130,0.5822122
67,68,0.57197624
99,187,0.7138464
99,107,0.5425103
31,120,0.50304496
31,134,0.38098645
41,165,0.5888034
41,151,0.42522913
18,126,0.573659
18,120,0.52560425
18,41,0.45315814
81,87,0.6183888
81,145,0.53729934
59,78,0.57316935
59,114,0.21670143
40,177,0.58066124
40,43,0.6281325
74,165,0.3775796
74,117,0.42058948
57,189,0.3625713
24,123,0.57768446
24,155,0.6355232
6,172,0.40177706
6,22,0.59560114
6,129,0.57274014
47,174,0.5950253
47,151,0.53039044
70,172,0.29630685
70,137,0.68342704
48,93,0.5346981
48,63,0.51094204
48,161,0.5572218
44,86,0.34420273
44,160,0.3873237
79,115,0.6013034
79,169,0.5310854
62,140,0.62325686
62,99,0.633949
1,6,0.2982253
1,11,0.27144378
1,151,0.30761942
11,148,0.48289606
11,131,0.24137391
33,82,0.41902646
33,101,0.3908879
148,180,0.6364641
175,186,0.55655336
120,129,0.55123657
146,198,0.45776525
123,181,0.5198481
124,182,0.68488854
166,175,0.62058383
155,179,0.6609389
158,195,0.45575976
151,187,0.55266213
145,176,0.37691513
121,134,0.37904295
150,175,0.70970136
178,193,0.5511427
135,170,0.50090367
136,181,0.59996134
109,199,0.5978481
157,184,0.5339441
118,194,0.26149213
104,192,0.5085196
104,135,0.5214299
116,120,0.52452123
172,186,0.3489995
117,123,0.3636864
170,195,0.40276393
122,167,0.74494857
122,139,0.5997083
111,177,0.5606479
111,130,0.5682566
101,135,0.49822584
113,198,0.39283744
107,194,0.29722562
156,163,0.6473064
164,199,0.38381413
106,170,0.4784636
106,171,0.6746496
174,182,0.61648995
115,124,0.550513
115,195,0.518866
108,127,0.2250453
100,105,0.41862145
154,174,0.4183838
159,175,0.4669635
165,184,0.42775428
105,195,0.38476282
105,127,0.4517218
114,129,0.35239267
103,175,0.6311789
144,198,0.51827294
160,191,0.42436677
110,170,0.55328906
110,172,0.37140745
179,192,0.61560196
125,171,0.34343994
127,163,0.3705229
192,199,0.62176627
140,172,0.4197687
140,158,0.50498843
134,152,0.5275777
163,174,0.7074508
152,170,0.5063939
128,197,0.5729295
126,149,0.44444695
130,149,0.4601354
142,195,0.47213095
177,191,0.44478464
138,160,0.32380763
139,161,0.40270755
112,171,0.5962885
119,187,0.5796069
133,160,0.22648573
129,136,0.56338817
132,153,0.495945
27,78,0.38193932
27,157,0.40031216
35,91,0.5998179
35,139,0.58622086
89,136,0.47416756
23,29,0.38221937
23,85,0.34799352
97,153,0.6392612
97,117,0.3784818
3,163,0.58618814
3,69,0.49259618
3,159,0.43318278
80,198,0.5282115
80,185,0.62399125
42,134,0.2699868
42,102,0.46536592
98,155,0.5769526
0,82,0.28517747
0,56,0.24507235
0,154,0.25120327
66,99,0.67575604
26,118,0.5437822
26,36,0.5541427
10,70,0.5893316
10,199,0.70951736
10,59,0.63139933
