seq1,seq2,similarity
44,50,0.113358006
123,177,0.09533457
158,175,0.07282598
101,180,0.07888305
80,171,0.10213049
55,104,0.35629472
7,180,0.099972345
61,197,0.031414244
87,183,0.14767678
22,130,0.1171266
88,188,0.32921797
44,144,0.15642038
123,156,0.23634133
158,180,0.07686431
117,158,0.0796461
101,117,0.0817379
144,150,0.25729173
80,117,0.05763888
55,155,0.28344393
7,142,0.062130604
61,115,0.07064521
43,119,0.17313044
22,61,0.04033194
88,92,0.14502841
123,182,0.08432265
117,185,0.05713046
101,175,0.07473866
144,149,0.17448942
80,130,0.1052356
7,175,0.094719954
83,175,0.08522495
43,167,0.2828558
63,66,0.1123513
88,102,0.21113417
123,197,0.20300488
117,175,0.057841986
101,185,0.07381928
144,197,0.06375033
80,101,0.07447622
7,80,0.09438735
58,180,0.0928379
43,123,0.15708654
22,175,0.058658402
59,124,0.3638571
123,174,0.092101134
117,178,0.03396551
80,83,0.08492569
92,102,0.08306531
7,46,0.09355477
46,130,0.10430734
43,67,0.23717628
59,110,0.13332474
123,142,0.12948944
117,130,0.11549642
182,183,0.09624682
80,180,0.4611884
92,192,0.17323256
8,40,0.16422248
7,85,0.11375755
46,117,0.05713046
59,159,0.47248903
123,129,0.1407465
117,142,0.03794087
182,187,0.35818112
80,142,0.034570165
94,175,0.07158175
7,61,0.065126896
46,142,0.034265228
79,180,0.12675868
117,139,0.14069802
129,183,0.17389642
80,139,0.12819825
8,99,0.24385975
7,10,0.16993761
46,88,0.09600857
79,126,0.16767447
117,180,0.06104943
129,177,0.18666048
80,183,0.087548755
8,140,0.16045944
12,112,0.4794112
7,178,0.055620693
46,139,0.12706743
41,165,0.2706248
79,80,0.11967726
80,185,0.052054927
42,142,0.6196158
94,184,0.052476697
76,176,0.6908746
7,39,0.23040198
58,80,0.087651476
41,195,0.16856486
79,179,0.71151525
80,178,0.03094798
19,132,0.09689813
8,108,0.8243374
7,185,0.09355477
46,80,0.052054927
41,141,0.5194743
80,158,0.07257026
19,102,0.12838198
94,137,0.08891174
7,58,0.15753002
58,101,0.12429886
41,65,0.23328675
146,148,0.17490251
150,187,0.25960135
139,178,0.07554483
80,175,0.14640304
19,198,0.12972324
94,194,0.34427518
7,22,0.10505256
46,185,0.051595762
53,197,0.12604275
41,95,0.3323796
146,149,0.09157606
150,151,0.24674478
139,180,0.13578387
80,85,0.06329598
19,123,0.22761047
58,158,0.4480668
37,137,0.4268485
6,106,0.73903185
146,182,0.1239778
150,182,0.16357544
115,173,0.07976117
139,158,0.1771459
80,126,0.13921958
56,132,0.13893029
19,156,0.11096121
29,187,0.34029832
58,185,0.086878315
37,161,0.16253854
6,154,0.20268369
150,183,0.06975746
149,183,0.10428404
139,185,0.12706743
80,184,0.06869147
56,123,0.32634258
19,119,0.6862595
29,177,0.15966387
58,178,0.05165137
37,190,0.22075771
105,199,0.14599945
139,142,0.08438668
132,162,0.09625388
80,179,0.11188515
56,197,0.13665311
19,23,0.16585328
29,77,0.19738528
46,175,0.05223836
53,153,1.0
70,170,0.5409126
155,189,0.15034062
147,194,0.16179068
139,175,0.12865
132,145,0.1595637
56,142,0.087166056
19,56,0.1532164
17,139,0.1571486
30,58,0.26077366
58,117,0.096197784
37,61,0.21196218
132,197,0.08642306
56,119,0.12977703
19,98,0.15885681
17,58,0.10744535
78,102,0.13107793
46,101,0.07381928
18,139,0.24303542
132,156,0.100615025
97,182,0.13440639
56,156,0.72421235
19,197,0.0953099
20,80,0.28138912
17,22,0.071652435
78,178,0.29607412
46,85,0.06273766
18,39,0.24303542
140,176,0.09435458
132,142,0.05512613
97,146,0.1195744
19,32,0.11452107
20,120,0.52844715
17,39,0.1571486
30,117,0.1714826
46,178,0.030674992
18,118,0.44375172
148,149,0.15719064
131,188,0.17753653
142,146,0.06857856
132,199,0.13989729
97,123,0.10043391
19,66,0.11454639
17,117,0.45211226
78,152,0.28857526
58,175,0.08796034
148,151,0.19531573
178,180,0.032779202
142,195,0.08889913
132,179,0.11738531
97,174,0.11887726
19,142,0.060794722
17,142,0.04237697
30,139,0.3814052
46,158,0.071930125
28,189,0.112815216
47,147,0.2105668
178,185,0.030674992
142,158,0.047769472
10,102,0.074004546
29,123,0.12039041
30,39,0.3814052
58,142,0.057696704
49,189,0.11415024
47,178,0.10670453
142,148,0.11771536
10,159,0.11046743
17,49,0.06430976
69,182,0.11421768
30,61,0.10781043
46,58,0.086878315
49,117,0.057577707
153,197,0.12604275
142,156,0.063126735
10,59,0.13229199
39,175,0.12865
29,183,0.14874586
69,132,0.088266596
30,178,0.092073955
58,130,0.17563547
49,178,0.030915132
48,148,0.7475993
183,187,0.15274791
142,185,0.034265228
10,197,0.048788708
39,49,0.12806219
17,101,0.0912948
69,118,0.078246474
30,80,0.1562479
46,61,0.035917696
49,139,0.12806219
48,109,0.18972045
145,162,0.1494372
183,184,0.064408295
142,147,0.09685341
10,124,0.0850694
39,85,0.15450715
29,129,0.490874
69,169,0.33579952
30,46,0.15486966
9,148,0.2537729
46,49,0.05199968
49,185,0.05199968
48,151,0.1460179
142,178,0.02037155
