seq1,seq2,similarity
118,145,0.5908349752426147
118,137,0.5794773697853088
118,125,0.6667065024375916
117,196,0.7158850431442261
104,187,0.34359878301620483
153,172,0.3634210526943207
136,168,0.5021283626556396
122,187,0.664922297000885
153,174,0.5502914786338806
109,151,0.5321135520935059
110,184,0.6547985672950745
162,186,0.5338093042373657
122,182,0.7774554491043091
106,168,0.5680311918258667
105,139,0.4782312512397766
113,196,0.5599662065505981
115,192,0.8902967572212219
114,162,0.2751987874507904
114,119,0.35119113326072693
179,194,0.31323787569999695
113,125,0.6928591132164001
111,123,0.6709606051445007
144,161,0.3979247510433197
144,179,0.7174676060676575
160,178,0.5777458548545837
183,186,0.7449000477790833
137,151,0.44896262884140015
165,190,0.29377302527427673
143,175,0.3325408399105072
182,184,0.6281911730766296
107,164,0.17525926232337952
190,192,0.864778459072113
113,193,0.9122170209884644
105,197,0.8520677089691162
107,112,0.43292367458343506
122,142,0.7872223258018494
102,167,0.5504225492477417
127,130,0.2011791467666626
125,186,0.6527435183525085
119,172,0.750950038433075
128,133,0.47852519154548645
152,192,0.3250761032104492
129,177,0.5176982879638672
131,140,0.18997056782245636
112,162,0.5509968996047974
132,152,0.7428531050682068
141,195,0.6332067251205444
131,180,0.11089251935482025
119,144,0.840748131275177
128,129,0.9134951233863831
132,184,0.6092697978019714
173,186,0.7167975902557373
132,148,0.33872225880622864
163,169,0.6517251133918762
119,171,0.665152370929718
112,187,0.417939156293869
97,143,0.6698309183120728
3,56,0.449188232421875
3,160,0.21173597872257233
27,197,0.07637253403663635
3,184,0.7564112544059753
3,12,0.4327285885810852
97,196,0.3802112340927124
97,197,0.4299534559249878
97,183,0.3986697196960449
97,120,0.49760502576828003
23,186,0.6875766515731812
3,7,0.31504660844802856
23,37,0.45846274495124817
27,96,0.15661108493804932
73,86,0.6495980620384216
0,186,0.3785789906978607
50,101,0.23741838335990906
50,194,0.09184955805540085
42,119,0.6119080781936646
26,125,0.42676877975463867
50,192,0.4921954572200775
92,109,0.39252936840057373
72,118,0.6922294497489929
98,120,0.6285248398780823
0,164,0.07652784138917923
26,48,0.6434062719345093
39,92,0.5242251753807068
66,120,0.6074754595756531
19,181,0.8264397978782654
10,34,0.5841243863105774
73,104,0.5426252484321594
72,164,0.10190721601247787
50,64,0.2514769732952118
73,134,0.6538310647010803
64,79,0.6405941247940063
0,149,0.2872923016548157
66,142,0.5928414463996887
19,186,0.6430945992469788
0,102,0.7369477152824402
64,190,0.5599506497383118
73,111,0.5321394801139832
56,191,0.6345317363739014
13,169,0.7020870447158813
52,125,0.354129433631897
55,165,0.18141837418079376
55,96,0.24938279390335083
17,168,0.4928145408630371
85,150,0.33964282274246216
29,96,0.7566618919372559
52,76,0.22156263887882233
13,137,0.5758734941482544
20,72,0.8402566313743591
17,79,0.6451563239097595
55,199,0.48355481028556824
13,187,0.3257006108760834
13,186,0.713856041431427
52,189,0.5069739818572998
52,119,0.7643231153488159
29,51,0.7196232676506042
17,27,0.1132558211684227
55,120,0.42286521196365356
54,158,0.36974284052848816
29,91,0.4483765959739685
29,179,0.5508167147636414
13,97,0.5773620009422302
69,94,0.5307028889656067
68,176,0.23947162926197052
20,126,0.7514399290084839
29,114,0.2941918671131134
90,192,0.594537615776062
38,127,0.20954346656799316
75,122,0.8298367857933044
38,185,0.43599072098731995
71,116,0.7532013654708862
75,192,0.7089576125144958
8,143,0.26189443469047546
71,122,0.7249568700790405
71,157,0.6315986514091492
5,34,0.39000463485717773
8,147,0.6225590109825134
4,194,0.3530825674533844
12,98,0.40540266036987305
71,97,0.6565308570861816
5,88,0.5803577899932861
61,193,0.730320930480957
16,132,0.472022145986557
9,107,0.5761485695838928
51,87,0.4292692244052887
84,189,0.6004842519760132
61,107,0.6716956496238708
9,94,0.6233271956443787
7,162,0.31497541069984436
61,151,0.3912085294723511
9,41,0.796613335609436
